Message,CM,AOPV,CDACT,TI,TTBF,Response
ons say rise student china india driven wonder britain highest death rate coronavirus europe theyre allowing bat eating savage flood country,2.333333333,1.166666667,4.0,3.833333333,1.5,"CM Hate Score: 2.333333333
AOPV Hate Score: 1.166666667
CDACT Hate Score: 4.0
TI Hate Score: 3.833333333
TTBF Hate Score: 1.5
"
people murdered invaded lebanon u didnt mutter condemation many people know rape butchery lebonan bush given free hand continue murder arab look still enough land american fighting wrong people middle east real enemy closer home israel war end dead american israel happy,3.5,3.666666667,5.166666667,4.166666667,1.0,"CM Hate Score: 3.5
AOPV Hate Score: 3.666666667
CDACT Hate Score: 5.166666667
TI Hate Score: 4.166666667
TTBF Hate Score: 1.0
"
die illegal crossers thats mining border training dog free roam ravage find maybe run nice high current fence two also,4.5,5.833333333,3.333333333,2.166666667,2.0,"CM Hate Score: 4.5
AOPV Hate Score: 5.833333333
CDACT Hate Score: 3.333333333
TI Hate Score: 2.166666667
TTBF Hate Score: 2.0
"
friend really stink lic plate dont know remember told back rebel flag truck window truck vandalized couple month ago driveway nigs road cop said couldnt anything hesitantly made notation dont even beleive made report anything beacause didnt sign anything meanwhile smashed window passenger side door oh white done nig would arrested day poetic justice,2.333333333,1.166666667,3.666666667,2.333333333,1.166666667,"CM Hate Score: 2.333333333
AOPV Hate Score: 1.166666667
CDACT Hate Score: 3.666666667
TI Hate Score: 2.333333333
TTBF Hate Score: 1.166666667
"
white brother sister snowman right doesnt fit together condemn criminal nwo time get trapped propaganda want fight war cant way thought muslim dont like dont like religion dont want live white country dont see muslim undermine white civilisation like jew dont see muslim controll mass medium brainwash people like jew dont see muslim spreading destructive propaganda like selfhatred white gay right sick weird idea like jew dont see muslim destruction race like jew yes muslim fought ancestor invade white soil past decade ancenstors meet battlefield oponnent ready fight man man dont sneak around u infiltrate u dont poison mind decive u lie u like jew ancenstors meet battlefield fought finally beat drove back white aryan soil jew different slippery parasitic tribe suck blood u suck blood whole world problem race muslim problem islam healthy strong white nation society deal today tho emuslims like last group resist nwo kike dont let self trick jewish trap dont believe lie muslim dont friend respect see clear going dont let kike decieve u,2.5,1.333333333,5.5,5.0,1.0,"CM Hate Score: 2.5
AOPV Hate Score: 1.333333333
CDACT Hate Score: 5.5
TI Hate Score: 5.0
TTBF Hate Score: 1.0
"
faggot troll,1.0,1.0,3.0,1.0,1.333333333,"CM Hate Score: 1.0
AOPV Hate Score: 1.0
CDACT Hate Score: 3.0
TI Hate Score: 1.0
TTBF Hate Score: 1.333333333
"
year back recall seeing article guy participated gay alot bash got aid beating fag pulp supposedly got fag blood got scrape cut got moral story youre going bash fag wear boot glove,1.0,3.666666667,3.333333333,1.166666667,3.666666667,"CM Hate Score: 1.0
AOPV Hate Score: 3.666666667
CDACT Hate Score: 3.333333333
TI Hate Score: 1.166666667
TTBF Hate Score: 3.666666667
"
race traitor white english woman filthy nig created monstrosity,1.0,1.0,3.0,1.0,1.333333333,"CM Hate Score: 1.0
AOPV Hate Score: 1.0
CDACT Hate Score: 3.0
TI Hate Score: 1.0
TTBF Hate Score: 1.333333333
"
simple explanation could husband taken wife name know screwed faggot really clown world,1.0,1.166666667,3.333333333,1.166666667,1.5,"CM Hate Score: 1.0
AOPV Hate Score: 1.166666667
CDACT Hate Score: 3.333333333
TI Hate Score: 1.166666667
TTBF Hate Score: 1.5
"
absolutely correct white least need negro land u hand negro need white way barn yard animal need farmer animal cannot go back wild survive negro,1.6,1.0,5.0,4.0,2.4,"CM Hate Score: 1.6
AOPV Hate Score: 1.0
CDACT Hate Score: 5.0
TI Hate Score: 4.0
TTBF Hate Score: 2.4
"
according aritcle american patrol today mexican govt estimate million mexican u today first formost problem lulac mecha give call bloody battle sheeple let invader country name pc california lost cause mexs white texas close behind state follow got ammo,3.666666667,5.833333333,3.666666667,4.666666667,1.166666667,"CM Hate Score: 3.666666667
AOPV Hate Score: 5.833333333
CDACT Hate Score: 3.666666667
TI Hate Score: 4.666666667
TTBF Hate Score: 1.166666667
"
additionally feral negro always trying shut u,1.166666667,1.0,3.0,2.5,1.166666667,"CM Hate Score: 1.166666667
AOPV Hate Score: 1.0
CDACT Hate Score: 3.0
TI Hate Score: 2.5
TTBF Hate Score: 1.166666667
"
africa also north africa impressing culture white egypt south africa home afrikaaners speak afrikaans built country absolutely nothing leave outnumbered european created infrastructure black africa last year left number negro continues increase infrastructure chaos negro sort right enormous area since cant govern recolonization africa million white could settle make continent blossom also benefit negro want pc argument,3.833333333,1.166666667,5.166666667,3.0,1.0,"CM Hate Score: 3.833333333
AOPV Hate Score: 1.166666667
CDACT Hate Score: 5.166666667
TI Hate Score: 3.0
TTBF Hate Score: 1.0
"
agreed one wanted sustain population last thing one would import black without white knowhow would rapidly transport britain back stoneage,1.166666667,1.0,4.166666667,3.0,2.166666667,"CM Hate Score: 1.166666667
AOPV Hate Score: 1.0
CDACT Hate Score: 4.166666667
TI Hate Score: 3.0
TTBF Hate Score: 2.166666667
"
sodomite homosexual yes fag cult,1.0,1.0,3.0,1.0,1.166666667,"CM Hate Score: 1.0
AOPV Hate Score: 1.0
CDACT Hate Score: 3.0
TI Hate Score: 1.0
TTBF Hate Score: 1.166666667
"
illegal invader already look bottom center,1.666666667,1.0,3.0,1.0,1.666666667,"CM Hate Score: 1.666666667
AOPV Hate Score: 1.0
CDACT Hate Score: 3.0
TI Hate Score: 1.0
TTBF Hate Score: 1.666666667
"
million subhumans try invade europe,1.833333333,1.0,3.0,2.5,1.5,"CM Hate Score: 1.833333333
AOPV Hate Score: 1.0
CDACT Hate Score: 3.0
TI Hate Score: 2.5
TTBF Hate Score: 1.5
"
roughly illegal invader choice,1.5,1.0,3.0,1.166666667,1.0,"CM Hate Score: 1.5
AOPV Hate Score: 1.0
CDACT Hate Score: 3.0
TI Hate Score: 1.166666667
TTBF Hate Score: 1.0
"
asiatic white race barbarian,1.0,1.0,2.5,2.0,1.0,"CM Hate Score: 1.0
AOPV Hate Score: 1.0
CDACT Hate Score: 2.5
TI Hate Score: 2.0
TTBF Hate Score: 1.0
"
another reason let chink usa bring back chinese exclusion act aragorn,3.833333333,1.0,3.333333333,3.5,1.333333333,"CM Hate Score: 3.833333333
AOPV Hate Score: 1.0
CDACT Hate Score: 3.333333333
TI Hate Score: 3.5
TTBF Hate Score: 1.333333333
"
another uppity groid expecting handout subhuman primate belong africa rest ape,1.833333333,1.0,3.333333333,3.5,2.0,"CM Hate Score: 1.833333333
AOPV Hate Score: 1.0
CDACT Hate Score: 3.333333333
TI Hate Score: 3.5
TTBF Hate Score: 2.0
"
anyone intend see really cant wait new movie urge see nigs spic sissy liberal kind movie besides lotr favorite book,1.0,1.0,3.0,1.0,2.333333333,"CM Hate Score: 1.0
AOPV Hate Score: 1.0
CDACT Hate Score: 3.0
TI Hate Score: 1.0
TTBF Hate Score: 2.333333333
"
anywhere oregon part portland great place live cash flow dont mind grey sky rain suburb around portland clean white comfortable part portland riot centered downtownthe faggot part town southeast portland black many,1.166666667,1.0,4.166666667,4.0,1.0,"CM Hate Score: 1.166666667
AOPV Hate Score: 1.0
CDACT Hate Score: 4.166666667
TI Hate Score: 4.0
TTBF Hate Score: 1.0
"
arab afroasiatic indian predomiantly dravidian look negro indoeuropean mean ancestor europe let forget iran mean land aryan arab invasion significantly affect gene pool invader cannot outbreed country population especially one big iran,1.166666667,1.0,4.333333333,4.0,1.0,"CM Hate Score: 1.166666667
AOPV Hate Score: 1.0
CDACT Hate Score: 4.333333333
TI Hate Score: 4.0
TTBF Hate Score: 1.0
"
arab friend fact worse jew fact willing kill mass number people name stupid insane islamic religion may like jew definately lesser two evil middle east,1.5,1.166666667,4.666666667,1.0,1.166666667,"CM Hate Score: 1.5
AOPV Hate Score: 1.166666667
CDACT Hate Score: 4.666666667
TI Hate Score: 1.0
TTBF Hate Score: 1.166666667
"
arent f ggot whined thread sad werent accepting f ggotry impossible prowhite fag time,1.0,1.0,3.0,1.5,1.333333333,"CM Hate Score: 1.0
AOPV Hate Score: 1.0
CDACT Hate Score: 3.0
TI Hate Score: 1.5
TTBF Hate Score: 1.333333333
"
argentina got problem got dont know dont see jewish problem would different anywhere else mass starving mob attack rich jew rich suspect good reason attacked split wouldnt surprised jew leaving argentina suitcase full krugerands matter power worth neck wont part gold part argentina,1.666666667,1.333333333,4.0,1.0,1.666666667,"CM Hate Score: 1.666666667
AOPV Hate Score: 1.333333333
CDACT Hate Score: 4.0
TI Hate Score: 1.0
TTBF Hate Score: 1.666666667
"
far welfare real change made system youve heard state cry never change thing would free lunch daily work daily chit food supply state could provide form daycare nigglets whore mother could go highway repair trash collection spend money municipality put beaner stand slow sign drawing checkwhen way reform welfare crackheads right mud dont want work would ligitimate reason spend money tax come,4.0,1.0,4.0,2.333333333,1.666666667,"CM Hate Score: 4.0
AOPV Hate Score: 1.0
CDACT Hate Score: 4.0
TI Hate Score: 2.333333333
TTBF Hate Score: 1.666666667
"
irksome link httpwwwgeocitiescomracialmythsjewshtml wake call wns ideology remain watertight jewish infiltration must emphasize oppositional ethnicorientation nonwhiteness le fag cling lifestyle disgrace jew hold jewishness give justification goy collecting perk victim,1.833333333,1.0,4.166666667,3.666666667,1.166666667,"CM Hate Score: 1.833333333
AOPV Hate Score: 1.0
CDACT Hate Score: 4.166666667
TI Hate Score: 3.666666667
TTBF Hate Score: 1.166666667
"
long child white properly taken care throw mother buck niglets deport back africa rest subhuman ape,3.5,1.0,3.666666667,2.5,2.0,"CM Hate Score: 3.5
AOPV Hate Score: 1.0
CDACT Hate Score: 3.666666667
TI Hate Score: 2.5
TTBF Hate Score: 2.0
"
aye place drink coffee general rant opponent want argue white nationalist mean get speak back seeing would bet white nationalist far outnumber opposing definitely surprising lot u like said forum isnt sit drink coffee converse antiracist buddy debate rest post sure im removing welfare problem least viewpoint also remove lot black mexican trashy white sure see bad thing pretty much black area would gone along mexican would able stay would one serving military working fast food sure thats exagerated little much still kicking nonwhites personally im kicking illegal immigrant drug yea legalize bunch impaired idiot running around wont anything may lose job drug former druggies get fix easier kid better access everyone walk around stoned wont productive noone want work want high drug illegal reason leave way ive seen enough druggies teen would hate see legally able walk street like also back drug today there quite bit development drug world know ive heard many new drug since ive alive,4.166666667,1.0,4.5,3.0,1.666666667,"CM Hate Score: 4.166666667
AOPV Hate Score: 1.0
CDACT Hate Score: 4.5
TI Hate Score: 3.0
TTBF Hate Score: 1.666666667
"
b european descendent neanderthal gene altough filth trying hardest steal u leave u negroided,1.5,1.0,4.833333333,5.333333333,1.166666667,"CM Hate Score: 1.5
AOPV Hate Score: 1.0
CDACT Hate Score: 4.833333333
TI Hate Score: 5.333333333
TTBF Hate Score: 1.166666667
"
back france gave gift people united state might seemed right thing today see result gift usa ruined largely tired poor jew invaded america,1.5,1.0,3.833333333,3.833333333,1.166666667,"CM Hate Score: 1.5
AOPV Hate Score: 1.0
CDACT Hate Score: 3.833333333
TI Hate Score: 3.833333333
TTBF Hate Score: 1.166666667
"
bad as seepage happens fag must run butt tampon,1.0,1.166666667,3.0,1.0,2.833333333,"CM Hate Score: 1.0
AOPV Hate Score: 1.166666667
CDACT Hate Score: 3.0
TI Hate Score: 1.0
TTBF Hate Score: 2.833333333
"
bad religion suck like punk guy flat race traitor also heard supported nig mumia abdul jamal anyone support animal brain splattered nearest wall rest judeoliberal left wing,1.166666667,5.333333333,3.666666667,1.0,1.166666667,"CM Hate Score: 1.166666667
AOPV Hate Score: 5.333333333
CDACT Hate Score: 3.666666667
TI Hate Score: 1.0
TTBF Hate Score: 1.166666667
"
bank scum earth white work shouldnt slightest bit surprised get sack order give job black,1.666666667,1.0,2.833333333,3.166666667,1.0,"CM Hate Score: 1.666666667
AOPV Hate Score: 1.0
CDACT Hate Score: 2.833333333
TI Hate Score: 3.166666667
TTBF Hate Score: 1.0
"
sure plenty large hungry pig people let die pig proimmigration crowd pig let slaughtered,2.5,5.666666667,3.0,1.5,1.166666667,"CM Hate Score: 2.5
AOPV Hate Score: 5.666666667
CDACT Hate Score: 3.0
TI Hate Score: 1.5
TTBF Hate Score: 1.166666667
"
great many u state whose family rule cnut great viking king denmark england norway fag politician denmark need involved whats happening side bridge malmo sweden flooding muzzies people forced take knee crime islam keep whining greenland erecting statue breivik greenland u announces million aid resourcerich greenland bbc news cnut great viking king denmarkengland norway cnut great wikipedia keep muzzies greenland europe,4.0,1.166666667,4.666666667,3.5,1.0,"CM Hate Score: 4.0
AOPV Hate Score: 1.166666667
CDACT Hate Score: 4.666666667
TI Hate Score: 3.5
TTBF Hate Score: 1.0
"
black car horn go honkey honkey white chainsaw go run nigga nigga run nigga nigga nigga,1.0,4.166666667,3.0,1.166666667,3.0,"CM Hate Score: 1.0
AOPV Hate Score: 4.166666667
CDACT Hate Score: 3.0
TI Hate Score: 1.166666667
TTBF Hate Score: 3.0
"
boy wait till nignogs get work pas word dad sherman blush way atl burn round,1.0,2.25,3.0,1.0,1.75,"CM Hate Score: 1.0
AOPV Hate Score: 2.25
CDACT Hate Score: 3.0
TI Hate Score: 1.0
TTBF Hate Score: 1.75
"
bring back paddlings take care nig nog special need,1.0,4.166666667,3.0,1.0,1.833333333,"CM Hate Score: 1.0
AOPV Hate Score: 4.166666667
CDACT Hate Score: 3.0
TI Hate Score: 1.0
TTBF Hate Score: 1.833333333
"
bring tv toughguy faggot well go like crap goose main course,1.0,2.833333333,3.0,1.0,2.333333333,"CM Hate Score: 1.0
AOPV Hate Score: 2.833333333
CDACT Hate Score: 3.0
TI Hate Score: 1.0
TTBF Hate Score: 2.333333333
"
britain getting tenser day gonna explode lot sooner poncey liberal would think take friend general white population almost tolerance left everybody talk say thing enough enoughand anymore lot british people waking politically correct bullpeople see getting overrun people seek exploit country milk slumall people seem looking significant catalyst unite actimmigrants bring crime disease government reward cashis surprise flocking aryan countrysthe ethnic naturally hate u culture mud claim benefit state intention working imported labour argument load mark word whether send back soon force back later go white unite let carry spreading word live word win,3.666666667,1.166666667,5.333333333,5.0,1.0,"CM Hate Score: 3.666666667
AOPV Hate Score: 1.166666667
CDACT Hate Score: 5.333333333
TI Hate Score: 5.0
TTBF Hate Score: 1.0
"
brown invader cancer america go back country deserve help kind one penny,2.833333333,1.0,3.0,3.166666667,1.0,"CM Hate Score: 2.833333333
AOPV Hate Score: 1.0
CDACT Hate Score: 3.0
TI Hate Score: 3.166666667
TTBF Hate Score: 1.0
"
buckwheat micah rhodes want white blond boy he black silly silly faggot dick chick black swing way prison doubt hell significant hard time hoosegow,1.0,1.0,3.0,1.0,3.0,"CM Hate Score: 1.0
AOPV Hate Score: 1.0
CDACT Hate Score: 3.0
TI Hate Score: 1.0
TTBF Hate Score: 3.0
"
always skank,1.0,1.0,2.666666667,1.0,1.5,"CM Hate Score: 1.0
AOPV Hate Score: 1.0
CDACT Hate Score: 2.666666667
TI Hate Score: 1.0
TTBF Hate Score: 1.5
"
looking picture mr equal little candy raver faggot alot little punk around taken lightly say love every one jack ass go around feeling accept anyone willing love product wanting different wanting appear act like kind people dead set individual hard time identifying one without level sexuality sort pleasure drug disguise equal yes correct equal equal garbage tossed rest,1.0,1.166666667,4.333333333,1.833333333,2.166666667,"CM Hate Score: 1.0
AOPV Hate Score: 1.166666667
CDACT Hate Score: 4.333333333
TI Hate Score: 1.833333333
TTBF Hate Score: 2.166666667
"
california plenty drug reason move portland weather much better california better bum outside california winter faggot transvestite hippy really dont like either passive anything real hippy arent dead getting old people rioting mostly militant faggot know oregon chaos homo part portland thats people oregon dont care enough anything never go anyway hate portland,1.833333333,1.0,3.666666667,1.666666667,1.666666667,"CM Hate Score: 1.833333333
AOPV Hate Score: 1.0
CDACT Hate Score: 3.666666667
TI Hate Score: 1.666666667
TTBF Hate Score: 1.666666667
"
cant deport hell come right back gutless coward charge border refuse use kind force keep invader welcome jewmerica,3.0,1.333333333,3.333333333,2.666666667,1.5,"CM Hate Score: 3.0
AOPV Hate Score: 1.333333333
CDACT Hate Score: 3.333333333
TI Hate Score: 2.666666667
TTBF Hate Score: 1.5
"
cant wait till antifa faggot abolish government funded police department white nationalist longer persecuted beating living antifa scumbags pic related,1.833333333,4.0,3.166666667,1.833333333,1.5,"CM Hate Score: 1.833333333
AOPV Hate Score: 4.0
CDACT Hate Score: 3.166666667
TI Hate Score: 1.833333333
TTBF Hate Score: 1.5
"
chief sand coon forgets north african barbary coast raided britain ireland unimpeded year capturing white enslave muzzies north africa head sand coon forgets massive number european taken sent turkey b enslaved middle east think blonde hair iraq came israel annex jordan valley july hope put palestinian female work whorehouse belong islam prepares muslim marriage orgy multiple female single male orgy muslim slut nothing current age marry female sand nigs seriously twisted come khamenei got something lucky white house would received drone long time ago,2.333333333,4.333333333,5.166666667,2.833333333,1.333333333,"CM Hate Score: 2.333333333
AOPV Hate Score: 4.333333333
CDACT Hate Score: 5.166666667
TI Hate Score: 2.833333333
TTBF Hate Score: 1.333333333
"
curtis know happened jailed noncitizen deported,1.166666667,1.0,1.666666667,1.0,1.0,"CM Hate Score: 1.166666667
AOPV Hate Score: 1.0
CDACT Hate Score: 1.666666667
TI Hate Score: 1.0
TTBF Hate Score: 1.0
"
damn almost seems like going bend let savage negro kill u,1.166666667,1.333333333,3.0,5.333333333,1.5,"CM Hate Score: 1.166666667
AOPV Hate Score: 1.333333333
CDACT Hate Score: 3.0
TI Hate Score: 5.333333333
TTBF Hate Score: 1.5
"
davisonwhat stated world live right nowthere elite highest rank government keep therethe authoritive state mentioned would equally exist communist liberalistleftistdemocratic goverment enforce law value others agree themin world would far rightsince even innocent mindset white pride look upon medium leftist group hateful etcit attacked side constantly conistently mention faggot ot keep sexuality closet speak order escape predujuce well politically incorrectness almost outlawed usa alot country isso bollock freedom see hate everywhere hate white race general promoted heavly leftistliberal groupsthe medium guilt ridden lemmingsgo figure p homosexual white power group somewhere englandthough dont consider faggot aryan,2.166666667,1.0,5.0,2.666666667,1.166666667,"CM Hate Score: 2.166666667
AOPV Hate Score: 1.0
CDACT Hate Score: 5.0
TI Hate Score: 2.666666667
TTBF Hate Score: 1.166666667
"
defund disband police democrat area keep conservative area much safer job much respected public pull let slaughter left device negro become live reenactment hunger game,3.833333333,2.666666667,4.333333333,1.666666667,2.333333333,"CM Hate Score: 3.833333333
AOPV Hate Score: 2.666666667
CDACT Hate Score: 4.333333333
TI Hate Score: 1.666666667
TTBF Hate Score: 2.333333333
"
defund hood let nigros continue killing make job easier long run,3.333333333,3.0,3.0,1.5,1.333333333,"CM Hate Score: 3.333333333
AOPV Hate Score: 3.0
CDACT Hate Score: 3.0
TI Hate Score: 1.5
TTBF Hate Score: 1.333333333
"
trump please jewish faggot fellatio sick imagine,1.0,1.0,3.0,1.0,2.5,"CM Hate Score: 1.0
AOPV Hate Score: 1.0
CDACT Hate Score: 3.0
TI Hate Score: 1.0
TTBF Hate Score: 2.5
"
notice ingenuity pooped somewhere stone age coper age yes may invented thing early egypt place easy grow food never took past egyptian nig civilization went slow decline time white came along pretty remained,1.166666667,1.0,4.833333333,1.0,1.0,"CM Hate Score: 1.166666667
AOPV Hate Score: 1.0
CDACT Hate Score: 4.833333333
TI Hate Score: 1.0
TTBF Hate Score: 1.0
"
dirty islamic sand monkey attacking white englishman country leftist race traitor scum like monk side oppress people trying fight back theyll get one fine day make mistake,2.333333333,2.0,4.166666667,4.0,1.166666667,"CM Hate Score: 2.333333333
AOPV Hate Score: 2.0
CDACT Hate Score: 4.166666667
TI Hate Score: 4.0
TTBF Hate Score: 1.166666667
"
fag still invade pensacola beach memorial day,1.5,1.0,3.0,1.0,1.0,"CM Hate Score: 1.5
AOPV Hate Score: 1.0
CDACT Hate Score: 3.0
TI Hate Score: 1.0
TTBF Hate Score: 1.0
"
invader get deported smuggled hotel eventually relocated around uk,1.666666667,1.0,2.666666667,1.0,1.0,"CM Hate Score: 1.666666667
AOPV Hate Score: 1.0
CDACT Hate Score: 2.666666667
TI Hate Score: 1.0
TTBF Hate Score: 1.0
"
let wise burro get aldaris go library serious study jew land since began held american principle helped land many fought honor glory south jew american problem scum wish american leave never return say person want american includes wise burro appears wish force liberal way america tom,2.333333333,1.0,5.0,3.166666667,1.0,"CM Hate Score: 2.333333333
AOPV Hate Score: 1.0
CDACT Hate Score: 5.0
TI Hate Score: 3.166666667
TTBF Hate Score: 1.0
"
anybody care nationalist pro white anti third world muslim immigration party mostly left remember german national socialist leader actually took side german union worker capitalist international finance know kind folk run wall street journal guess symapthizing german worker wanted living wage rich industrialist prefered hire black african slave wage germany leader german national socialist worker party left good conservative would allow anything go capitalism open border immigration race family time protect family pay consumer product dont shop wall mart,3.0,1.0,5.0,4.0,1.166666667,"CM Hate Score: 3.0
AOPV Hate Score: 1.0
CDACT Hate Score: 5.0
TI Hate Score: 4.0
TTBF Hate Score: 1.166666667
"
donald rumsfeld isnt jew,1.0,1.0,1.333333333,1.0,1.0,"CM Hate Score: 1.0
AOPV Hate Score: 1.0
CDACT Hate Score: 1.333333333
TI Hate Score: 1.0
TTBF Hate Score: 1.0
"
dont forget damned ewoks calamari bring rest scum,1.166666667,1.0,2.666666667,1.5,2.0,"CM Hate Score: 1.166666667
AOPV Hate Score: 1.0
CDACT Hate Score: 2.666666667
TI Hate Score: 1.5
TTBF Hate Score: 2.0
"
dont worry know lucky melbourne ive heard west sydney revolting race mentioned lot white trash well actually love greek italian hate one refuse assimilate extent look ridiculous,1.666666667,1.0,3.333333333,2.5,1.0,"CM Hate Score: 1.666666667
AOPV Hate Score: 1.0
CDACT Hate Score: 3.333333333
TI Hate Score: 2.5
TTBF Hate Score: 1.0
"
drpierce talk subject month ago one adv broadcast effort destroy race jew inadvertently spray filth evil leftist scheme jew supported year order weaken destroy u effected negitive way many time jewish men get screwed femminist potentially healthy productive jewish baby get aborted jewish people kept alive machine survive brain damage degrading disability jewish boy become wiggers young jewish woman bedding mulatto child leftist cause negitive effect jewish people would think jew would rebel leadership would think jew would want fight leftist demegogues whether jewish gentile effected evil filth much jew hate u much willing chock death posion bring u got wonder,2.166666667,1.0,5.0,5.166666667,1.166666667,"CM Hate Score: 2.166666667
AOPV Hate Score: 1.0
CDACT Hate Score: 5.0
TI Hate Score: 5.166666667
TTBF Hate Score: 1.166666667
"
dushyanth good post race mixing irreversible amount devolution know country aryan invader established caste system prevent mixing race didnt work country thomas jefferson suggested african freed removed beyond possibility mixing former master course didnt happen seeing consequence race mixing african aryan plus influx mexican south american already mongrelized race getting thrown mix city seething cesspool interracial breeding producing population resembles pack stray dog everything yet nothing like experiment genetics gone awry island dr moreau lawdog,1.833333333,1.0,5.5,5.0,1.333333333,"CM Hate Score: 1.833333333
AOPV Hate Score: 1.0
CDACT Hate Score: 5.5
TI Hate Score: 5.0
TTBF Hate Score: 1.333333333
"
eating new york faggot whore could negative effect really dont get new meme eating primate sick already die,1.0,2.0,2.666666667,1.0,1.166666667,"CM Hate Score: 1.0
AOPV Hate Score: 2.0
CDACT Hate Score: 2.666666667
TI Hate Score: 1.0
TTBF Hate Score: 1.166666667
"
