MessageNumber,Message,English,MessageID,CM_1,CM_2,CM_3,CM_4,CM_5,CM_6,AOPV_1,AOPV_2,AOPV_3,AOPV_4,AOPV_5,AOPV_6,CDACT_1,CDACT_2,CDACT_3,CDACT_4,CDACT_5,CDACT_6,TI_1,TI_2,TI_3,TI_4,TI_5,TI_6,TTBF_1,TTBF_2,TTBF_3,TTBF_4,TTBF_5,TTBF_6,MessageNumber2,Hate,Year,CM,AOPV,CDACT,TI,TTBF
13,"[QUOTE=Josephine;15234570]They're not necessarily homosexual, they're mostly just kind of dumb and don't discriminate between warm, wet holes.[/QUOTE 
 
 
 
Its my long time view there is no such thing as bi-sexual. 
A faggot is a faggot is a faggot even if they go both ways. 
But yeah, I guess with the negro its a more a case of tiny brains coupled with an over abundance of testosterone leading to this primal urge to just stick that thing somewhere. Anywhere.  
Gross is grossly understating it.",1,13,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,5,3,5,1,1,1,1,1,1,5,2,2,4,2,2,13,0.907,2020,1,1,4,1,2.833333333
14,"__________________________________________________  __ One question,""Are you insane?.Gooks,viet,Khmer are the same and exept for the chineese chinks having rounder eyes compared to the japs.They are all SLANTEYES.And CZECHS are the same looking as Polish or German.If I seen a nig-nog there is noway im going to be able to say if he is from Africa or America.                     Stay white,White to the bone.",1,14,1,1,1,1,1,1,1,1,1,1,1,1,6,3,3,5,4,3,1,4,1,1,4,4,2,1,1,3,1,2,14,0.894,2001,1,1,4,2.5,1.666666667
15,The ONS says a rise in students from China and India has driven this. And we wonder why Britain has the highest death rate from the Coronavirus in Europe when theyre allowing these bat eating savages to flood our country,1,15,2,3,2,2,3,2,1,2,1,1,1,1,5,3,5,3,3,5,4,4,4,5,5,1,1,1,1,2,2,2,15,0.902,2020,2.333333333,1.166666667,4,3.833333333,1.5
16,"18,000 people were murdered by them when they invaded Lebanon, which the US didn't mutter a condemation about.  How many people know about their rape and butchery in Lebonan?  Bush has given them a free hand to continue their murder of Arabs, and they will look further when they have still not enough land.   
 
Americans you are fighting the wrong people in the Middle East, you real enemy is closer to home, and in Israel.  
 
The war will end up with 1,000s of dead Americans, while Israel will be happy.",1,16,4,4,3,2,6,2,1,5,2,2,6,6,5,5,5,5,6,5,6,1,6,5,6,1,1,1,1,1,1,1,16,0.886,2001,3.5,3.666666667,5.166666667,4.166666667,1
17,"400 die out of 500,000 illegal crossers. 
 
That's all?? 
 
We should be mining the border and training dogs to free roam and ravage what they find. 
 
Maybe run a nice high current fence or two also.",1,17,1,5,5,5,6,5,5,6,6,6,6,6,3,3,3,3,5,3,1,1,1,1,5,4,5,2,2,1,1,1,17,0.89,2001,4.5,5.833333333,3.333333333,2.166666667,2
18,"88! My friend!!  That really stinks about your lic. plate.. I dont know if you remember when I told you a while back.. but because of the rebel flags on my truck windows, I had my truck vandalized a couple months ago in my own driveway by nigs down the road.  The cops said they couldnt do anything about it.. just hesitantly made a notation of it.. I dont even beleive they made a report or anything, beacause I didnt sign anything... Meanwhile, they smashed my window in and my passenger side door.   But oh!! If a white had done that to a nig, we would have been arrested.  Some day there will be poetic justice..",1,18,2,2,2,2,3,3,1,2,1,1,1,1,4,4,3,5,3,3,5,2,1,2,2,2,1,2,1,1,1,1,18,0.886,2001,2.333333333,1.166666667,3.666666667,2.333333333,1.166666667
19,"88! My white brothers and sisters, 
Snowman is 100% right! It doesnt fit together to condemn the Criminals of the NWO and in the same time get trapped by their propaganda and want to fight their wars. You CANT have it both way. 
And a few thoughts on the Muslims: I dont like them, I dont like their Religion and I dont want them to live in white countrys. 
BUT.... 
I dont see the muslims undermine white civilisation like the jews! I dont see muslims controll the mass media and brainwash our people like the jews! 
I dont see the muslims  spreading destructive propaganda like self-hatred for whites, gay rights and all this sick weird ideas like the jews. 
I dont see the muslims doing the same destruction too our race like the jews! 
Yes the muslims fought against our ancestors and invade our white soil in past decades. But our ancenstors meet them on the battlefield as an oponnent who is ready to fight, man against man. They dont sneak around us, infiltrate us and they dont poison our minds, decive us. lie to us like the jews. 
Our ancenstors meet them at the battlefield, fought against them and finally beat them and drove them back from our white aryan soil. That was about it. The Jews are different, they are a slippery parasitic tribe, they suck the blood out of us and they suck out the blood of the whole world. The problem of our race are NOT the muslims. So the problem is not the Islam. A healthy strong white nation, society, can and will deal with them. But today thos emuslims, like it or not,  are the last group who resist to the NWO and the kikes. Dont let your self trick in the jewish trap. Dont believe their lies. The muslims dont have to be our friends but we can and should respect them for what they are doing. We have too see clear what is going on and dont let the kikes decieve us.",1,19,2,3,3,2,3,2,1,3,1,1,1,1,6,5,6,5,6,5,6,6,4,5,3,6,1,1,1,1,1,1,19,0.89,2001,2.5,1.333333333,5.5,5,1
20,A faggot troll,1,20,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,2,1,2,20,0.912,2020,1,1,3,1,1.333333333
21,"A few years back, I recall seeing an article about some guy who participated in gay alot of bashes and got AIDS from beating the fags to pulp. He supposedly got it when the fag's blood got in scrapes and cuts he got. Moral of the story, if you're going to bash a fag,  wear boots and gloves!",1,21,1,1,1,1,1,1,4,4,5,2,2,5,3,3,5,3,3,3,1,2,1,1,1,1,5,2,5,3,2,5,21,0.899,2001,1,3.666666667,3.333333333,1.166666667,3.666666667
22,A race traitor white english woman and a filthy nig created this monstrosity.,1,22,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,2,1,2,22,0.892,2001,1,1,3,1,1.333333333
23,"A simple explanation could be the ""husband"" has taken the ""wife's"" name. You know how screwed up these faggots are - it really is a Clown world.....",1,23,1,1,1,1,1,1,1,2,1,1,1,1,3,5,3,3,3,3,1,2,1,1,1,1,1,1,1,2,2,2,23,0.906,2020,1,1.166666667,3.333333333,1.166666667,1.5
24,"Absolutely correct.   Whites do not in the least need any negroes in our lands with us.  On the other hand, negroes need the Whites the way a barn yard animal needs the farmer;  the animal cannot go back to the wild and survive.   Same with negroes.",1,24,1, ,2,2,2,1,1, ,1,1,1,1,6, ,5,6,4,4,4, ,4,4,4,4,1, ,2,4,3,2,24,0.903,2020,1.6,1,5,4,2.4
25,"According to an aritcle in American Patrol today, the mexican govt. estimates there are 23 MILLION mexicans in the US today.  This is our first and formost problem.  When LULAC and MECHA give the call, it will be a bloody battle.  Or will the sheeple let the invaders have the country in the name of ""PC""?  
 
California is a lost cause, more mex's there than whites, Texas is close behind, other states to follow. Got Ammo?",1,25,3,3,6,2,5,3,6,5,6,6,6,6,5,3,5,3,3,3,4,5,5,4,4,6,1,1,1,1,1,2,25,0.892,2001,3.666666667,5.833333333,3.666666667,4.666666667,1.166666667
26,"Additionally, the feral negros always are trying to shut us down.",1,26,1,1,1,1,2,1,1,1,1,1,1,1,3,3,3,3,3,3,6,3,1,3,1,1,1,1,1,1,1,2,26,0.91,2020,1.166666667,1,3,2.5,1.166666667
27,"Africa is also North Africa and the impressing culture of White Egypt. 
South Africa is the home of the Afrikaaners who speak Afrikaans. They have built the country from absolutely nothing. Why should they leave just because they are outnumbered? 
The Europeans created the infrastructure of Black Africa during the last 100 years. After they left the number of negroes continues to increase but the infrastructure is in chaos. Why should the negroes have some sort of ""right"" to these enormous areas since they can´t govern them? After a recolonization of Africa millions of Whites could settle there and make the continent blossom (also to the benefit of the negroes - if you want a pc argument).",1,27,5,3,5,3,3,4,1,2,1,1,1,1,6,4,6,6,4,5,5,4,1,5,2,1,1,1,1,1,1,1,27,0.897,2001,3.833333333,1.166666667,5.166666667,3,1
28,"Agreed. 
 
  
If one wanted to sustain the population, the last thing one would do is import  blacks.  Without White know-how, they would rapidly transport themselves   -   & Britain   -   back to the stoneage!",1,28,1,1,1,1,2,1,1,1,1,1,1,1,4,4,6,5,3,3,4,4,4,1,4,1,2,1,1,4,1,4,28,0.903,2020,1.166666667,1,4.166666667,3,2.166666667
29,"All sodomites are homosexuals. 
 
Yes, fags are a cult.",1,29,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,2,1,1,29,0.909,2020,1,1,3,1,1.166666667
31,An illegal invader already!!!  Look at the bottom center!!!,1,31,2,1,1,1,3,2,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,1,4,1,1,1,2,31,0.905,2020,1.666666667,1,3,1,1.666666667
32,And millions more of the subhumans will try to invade Europe!,1,32,2,1,2,2,2,2,1,1,1,1,1,1,3,3,3,3,3,3,1,4,1,4,4,1,2,1,1,2,1,2,32,0.914,2020,1.833333333,1,3,2.5,1.5
33,"And roughly 20% of our illegal invaders did, because they had a choice too.",1,33,2,1,1,1,2,2,1,1,1,1,1,1,5,3,5,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,33,0.904,2020,1.5,1,3,1.166666667,1
34,"And to Asiatics the White race are ""barbarians.""",1,34,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,4,3,1,2,3,3,2,1,1,1,1,1,1,1,34,0.897,2001,1,1,2.5,2,1
35,Another reason not to let the chinks into the USA! Bring back the Chinese Exclusion Acts! Aragorn,1,35,4,4,4,4,3,4,1,1,1,1,1,1,3,3,5,3,3,3,4,4,4,4,1,4,2,1,1,2,1,1,35,0.896,2001,3.833333333,1,3.333333333,3.5,1.333333333
36,Another uppity groid expecting a handout... these subhuman primates belong in Africa with the rest of the apes.,1,36,2,1,2,2,2,2,1,1,1,1,1,1,3,3,3,5,3,3,1,4,4,4,4,4,2,2,2,2,2,2,36,0.905,2020,1.833333333,1,3.333333333,3.5,2
37,"Anyone intend to see it?  I really can't wait.  This is the ONLY new movie I have the urge to see.  No nigs, no spics, no sissy liberals. My kind of movie!  Besides, LOTR is my favorite book/s.",1,37,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,2,4,2,2,2,2,37,0.89,2001,1,1,3,1,2.333333333
38,"Anywhere in Oregon  other than part of Portland is a great place to live if you have some cash flow and  dont mind grey skies and rain. 
The suburbs around Portland are clean, White and comfortable. 
The part of Portland where the riots are centered is downtown,the faggot part of town. 
Southeast Portland has some blacks but not many.",1,38,1,2,1,1,1,1,1,1,1,1,1,1,3,4,6,6,3,3,4,4,4,4,4,4,1,1,1,1,1,1,38,0.902,2020,1.166666667,1,4.166666667,4,1
39,"Arabs are Afro-asiatics. Indians are predomiantly Dravidian and they look negro. I am an Indo-European which means I have ancestors from Europe. Let's not forget that Iran means 'The Land of Aryans'. 
 
The arab invasion did not significantly affect our gene pool because invaders cannot out-breed a country's population, especially one which is as big as Iran.",1,39,1,1,1,1,2,1,1,1,1,1,1,1,6,5,5,1,6,3,6,6,6,1,4,1,1,1,1,1,1,1,39,0.902,2020,1.166666667,1,4.333333333,4,1
40,"Arabs are not our friends.  In fact they are worse than jews, in the fact that they are willing to kill mass numbers of people in the name of that stupid and insane Islamic religion of theirs.  I may not like the jews, but they are definately the lesser of the two evils in the middle east",1,40,1,1,1,1,3,2,1,2,1,1,1,1,5,5,5,5,3,5,1,1,1,1,1,1,1,1,1,2,1,1,40,0.889,2001,1.5,1.166666667,4.666666667,1,1.166666667
41,Aren't you the f a ggot who whined in the other thread about how sad it was that we weren't accepting of your f a ggotry? It is impossible to be pro-white and a fag at the same time.,1,41,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,2,3,1,1,1,1,2,2,1,1,1,41,0.903,2020,1,1,3,1.5,1.333333333
42,"Argentina's got their problems, and we got ours. I don't know, but I don't see why the jewish problem would be any different down there than it is anywhere else. 
When the masses are starving, the mobs attack the rich. The jews are the rich. They suspect, with good reason, they will be attacked. So, they split. 
I wouldn't be surprised if these jews are leaving Argentina with suitcases full of Krugerands. No matter what power they have there, it's not worth their necks; and they won't part with their gold, so they will part with Argentina.",1,42,1,1,2,2,2,2,1,2,2,1,1,1,5,5,5,1,3,5,1,1,1,1,1,1,1,1,1,4,2,1,42,0.888,2001,1.666666667,1.333333333,4,1,1.666666667
43,"As far as welfare, there should be a real change made in the system. You've all heard the states cry about this, but never change a thing. 
 
There would be no free lunch. Daily work, daily chit for food, supplies. The state could provide some form of daycare for the nigglets and their ****** whore mothers could go do highway repair or trash collection. Why spend the money the municipalities put out for some beaner to stand there with a ""slow"" sign while drawing a check...when there is a way to reform these welfare crackheads right there? 
 
The muds don't want to work, so there would be a ligitimate reason not to spend the money on them, my taxes come down.",1,43,4,4,4,4,4,4,1,1,1,1,1,1,5,3,5,5,3,3,5,1,1,1,5,1,1,1,1,4,1,2,43,0.893,2001,4,1,4,2.333333333,1.666666667
44,"As irksome as this link was, 
 
 http://www.geocities.com/racial_myths/jews.html 
 
it is a wake up call for WNs. If our ideology is to remain water-tight against jewish infiltration, then we must emphasize their oppositional ethnic-orientation more, and their ""non-whiteness"" less. 
 
Just as the fag clings to his ""life-style"" and is a disgrace, so too do the jews hold on to jewishness. It gives them their justification to {} the goyim, while collecting on the perks of ""being victims"".",1,44,1,1,3,1,2,3,1,1,1,1,1,1,6,3,5,5,3,3,6,4,6,4,1,1,1,1,1,2,1,1,44,0.889,2001,1.833333333,1,4.166666667,3.666666667,1.166666667
45,As long as the children are white and properly taken care of then throw the mothers a few bucks. If they have niglets then deport them back to Africa with the rest of the subhuman apes.,1,45,1,4,4,4,3,5,1,1,1,1,1,1,3,3,6,3,4,3,1,1,4,4,4,1,2,1,2,4,1,2,45,0.915,2020,3.5,1,3.666666667,2.5,2
46,"Aye, it is, but it is not here for you to have a place to drink coffee. 
 General Rants  
For all our opponents who want to argue with White Nationalists. 
Which means, we get to speak back.  Seeing as how I would bet the White Nationalists far outnumber the Opposing here, it is definitely not surprising that there are a lot of us in here.  Again, like I said, the forum isn't here for you to sit and drink coffee and converse with your other anti-racist buddies, it's for debate. 
 
As for the rest of your post... 
 
 
 
 Sure, I'm all for removing welfare, problem is, at least from your viewpoint, that will also remove a lot of blacks, mexicans, and trashy whites.  Which I am not sure I see as a bad thing.  Pretty much ALL the blacks in this area would be gone, along with the few mexicans.  Those that would be able to stay would be the ones serving in the military, and working in fast food.  Sure, that's exagerated a little, but not much. So, we're still at kicking non-whites out.  Personally, I'm for kicking  all  illegal immigrants out. 
 
As for the drugs, yea, legalize them, so we have a bunch of impaired idiots running around.  Those that won't do anything because they may lose their job can now have their drugs.  Former druggies can get their fixes easier, our kids have better access to them, everyone can just walk around stoned.  Won't that be productive?  Noone wants to work, they just want to be high.  Drugs are illegal for a reason, leave them that way.  I've seen enough druggies in my teens, I would hate to see them legally able to walk the streets like that.  Also, back in 1914, there were not the drugs that we have today.  There's been quite a bit of development in the drug world, I know I've heard of MANY new drugs since I've been alive.",1,46,4,4,4,4,4,5,1,1,1,1,1,1,6,3,5,5,5,3,4,1,4,4,1,4,1,2,2,2,1,2,46,0.893,2001,4.166666667,1,4.5,3,1.666666667
47,"B.S 
Europeans are the descendents of neanderthals.  
It's our genes, altough these filth is trying their hardest to steal it from us, & leave us negroided.",1,47,1,3,1,1,2,1,1,1,1,1,1,1,6,3,6,6,5,3,6,5,6,5,4,6,1,1,1,2,1,1,47,0.912,2020,1.5,1,4.833333333,5.333333333,1.166666667
48,"Back then when France ""gave"" this ""gift"" to the people of the United States it might have seemed the right thing.  But today, we see the result of that ""gift.""  This USA has been ruined largely because of the tired, poor Jews that invaded America.",1,48,1,1,2,1,2,2,1,1,1,1,1,1,6,3,5,3,3,3,6,4,6,1,5,1,1,1,1,2,1,1,48,0.886,2001,1.5,1,3.833333333,3.833333333,1.166666667
49,Bad ass seepage.   It happens to those fags. Must have run out of butt tampons.,1,49,1,1,1,1,1,1,1,2,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,2,4,2,3,3,3,49,0.91,2020,1,1.166666667,3,1,2.833333333
50,Bad Religion sucks.  I like some punk but these guys are just flat out race traitors.  I also heard they supported that nig Mumia Abdul Jamal.  Anyone who supports that animal should have their brains splattered against the nearest wall with the rest of the Judeo-Liberal left wing,1,50,1,1,1,1,1,2,5,5,6,4,6,6,3,3,5,5,3,3,1,1,1,1,1,1,1,1,1,2,1,1,50,0.893,2001,1.166666667,5.333333333,3.666666667,1,1.166666667
51,"Banks are scum of the earth, whites who work for them shouldn't be the slightest bit surprised if they get the sack in order to give their job to a black.",1,51,1,1,2,2,2,2,1,1,1,1,1,1,4,4,1,1,4,3,1,2,5,5,5,1,1,1,1,1,1,1,51,0.903,2020,1.666666667,1,2.833333333,3.166666667,1
52,"Be sure there are plenty of large, hungry pigs. The ""people"" who let them in should die by pigs. The pro-immigration crowd are pigs. Let them be slaughtered by their own.",1,52,2,3,3,3,2,2,6,6,6,6,4,6,3,3,3,3,3,3,4,1,1,1,1,1,1,1,1,2,1,1,52,0.908,2020,2.5,5.666666667,3,1.5,1.166666667
53,"Being there are a great many of us here in the States whose families were under the rule of Cnut the Great, Viking King of Denmark, England, and Norway, these fag politicians in Denmark need to be more involved in what's happening on the other side of the bridge in Malmo, Sweden, flooding the muzzies in , the people forced to take a knee to crime and Islam, and keep their whining out of Greenland. Am all for erecting a statue of Breivik in Greenland.: 
 
 US announces millions in aid for resource-rich Greenland - BBC News 
 
Cnut the Great, Viking King of Denmark,England, and Norway: 
 
 Cnut the Great - Wikipedia 
 
Keep your muzzies out of Greenland,  and Europe.",1,53,4,5,4,4,3,4,1,1,2,1,1,1,5,3,5,5,5,5,4,4,4,1,4,4,1,1,1,1,1,1,53,0.905,2020,4,1.166666667,4.666666667,3.5,1
54,"blacks have cars with horns that go "" Honkey - honkey "".....whites have chainsaws that go "" run nigga nigga run nigga nigga nigga""",1,54,1,1,1,1,1,1,5,3,5,2,5,5,1,3,3,4,4,3,1,2,1,1,1,1,5,1,2,3,3,4,54,0.895,2001,1,4.166666667,3,1.166666667,3
55,"Boy, wait till the nig-nogs get off work and pass the word to their dads.  
 
Sherman will blush at the way ATL burns this round.",1,55, , ,1,1,1,1, , ,1,1,1,6, , ,3,3,3,3, , ,1,1,1,1, , ,2,2,1,2,55,0.912,2020,1,2.25,3,1,1.75
56,Bring back paddlings and that will take care of the nig nog's special needs.,1,56,1,1,1,1,1,1,5,5,5,4,1,5,3,1,5,3,3,3,1,1,1,1,1,1,2,2,1,2,2,2,56,0.907,2020,1,4.166666667,3,1,1.833333333
57,"Bring it on, you tv toughguy  faggots. We'll go through you like crap through a goose. Then on to the main course.",1,57,1,1,1,1,1,1,4,5,1,1,1,5,3,3,3,3,3,3,1,1,1,1,1,1,3,4,1,2,2,2,57,0.909,2020,1,2.833333333,3,1,2.333333333
58,"Britain is getting tenser by the day and is gonna explode a lot sooner than the poncey liberals would have you think. Take it from me my friends, the general white population has almost no 'tolerance' left. Everybody I talk to says the same thing ""Enoughs enough,and were not having this anymore"". A lot of British people are waking up to this 'POLITICALLY CORRECT!' BULL****.People can see how were getting more and more overrun by people who seek to exploit our country and milk it into a slum.All people seem to be looking for is a significant catalyst to unite and act.Immigrants bring crime and disease and our government rewards them with our cash,is it any surprise they are flocking to all the aryan countrys.The ethnics naturally hate us and our cultures so why have them! Most the muds here just claim benefits off the state and have no intention of working so the imported labour argument is a load of ****. Mark my words whether we send them back soon or force them back later they will go. As whites we can and will unite lets just carry on spreading the word and live to the 14 words. WE CAN AND WILL WIN.",1,58,4,5,4,3,3,3,1,2,1,1,1,1,6,5,6,5,5,5,5,5,6,4,5,5,1,1,1,1,1,1,58,0.89,2001,3.666666667,1.166666667,5.333333333,5,1
59,Brown invaders are a cancer on America. They should go back to their country. They deserve no help of any kind. Not one penny.,1,59,2,3,3,2,2,5,1,1,1,1,1,1,3,3,3,3,3,3,1,5,4,4,1,4,1,1,1,1,1,1,59,0.904,2020,2.833333333,1,3,3.166666667,1
60,"Buckwheat Micah Rhodes wants to be a White blond boy. But he's black. How silly.  
 
Silly faggot, dicks are for chicks. But then again blacks swing both ways in and out of prison. I doubt he'll do any significant hard time in the hoosegow.",1,60,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,2,4,1,5,2,4,60,0.911,2020,1,1,3,1,3
61,But they ARE ALWAYS 100% skanks!,1,61,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,1,2,1,1,2,2,61,0.904,2020,1,1,2.666666667,1,1.5
62,"By looking at the picture Mr. we are all equal, is a little candy raver faggot. We have alot of these little punks around here. They are not to be taken lightly when they say they love every one. These jack asses go around feeling each other up and will accept anyone that is willing to ""love"" them. They are a product of wanting to be different but not wanting to appear to act like ******s. These kind of people are so dead set on being individuals that they have a hard time identifying with any one without it being on the level of sexuality or some other sort of pleasure (drugs). And they do it all under the disguise of we are all equal.  
 
Yes, you are correct. You are all equal. You are all equal to garbage and should be tossed out with the rest.",1,62,1,1,1,1,1,1,1,2,1,1,1,1,5,5,3,5,3,5,1,1,1,1,6,1,1,2,2,2,2,4,62,0.902,2001,1,1.166666667,4.333333333,1.833333333,2.166666667
63,California has plenty of drugs. No reason to move to Portland. The weather is much better in California. Better to be a bum outside in California in the winter. They are faggots and transvestites. Hippies really don’t like them either but are too passive to do anything about it. The real hippies that aren’t dead are getting old. Those people out rioting are mostly militant faggots. I know Oregon. All this chaos is in the homo  part of Portland. That’s why most people in Oregon don’t care enough to do anything about it. They never go there anyway. They hate Portland. ,1,63,2,2,2,1,2,2,1,1,1,1,1,1,3,3,5,5,3,3,1,2,1,1,4,1,2,1,1,2,2,2,63,0.909,2020,1.833333333,1,3.666666667,1.666666667,1.666666667
64,Can't deport him because he'll just come right back. And the gutless cowards in charge at the Border refuse to use any kind of force to keep these invaders out. Welcome to JewMerica in 2020.,1,64,2,5,2,5,2,2,1,1,1,3,1,1,3,3,5,3,3,3,1,2,1,4,4,4,1,2,1,2,1,2,64,0.902,2020,3,1.333333333,3.333333333,2.666666667,1.5
